Date,Close
2024-09-04 00:00:00-04:00,137.72276306152344
2024-09-05 00:00:00-04:00,139.54275512695312
2024-09-06 00:00:00-04:00,138.7599639892578
2024-09-09 00:00:00-04:00,136.88125610351562
2024-09-10 00:00:00-04:00,152.53712463378906
2024-09-11 00:00:00-04:00,153.79937744140625
2024-09-12 00:00:00-04:00,157.9090576171875
2024-09-13 00:00:00-04:00,158.54507446289062
2024-09-16 00:00:00-04:00,166.66653442382812
2024-09-17 00:00:00-04:00,163.8680877685547
2024-09-18 00:00:00-04:00,160.99130249023438
2024-09-19 00:00:00-04:00,163.9854736328125
2024-09-20 00:00:00-04:00,164.38668823242188
2024-09-23 00:00:00-04:00,162.38076782226562
2024-09-24 00:00:00-04:00,162.23397827148438
2024-09-25 00:00:00-04:00,162.70367431640625
2024-09-26 00:00:00-04:00,164.48451232910156
2024-09-27 00:00:00-04:00,165.1107635498047
2024-09-30 00:00:00-04:00,166.7350616455078
2024-10-01 00:00:00-04:00,163.56472778320312
2024-10-02 00:00:00-04:00,164.1029052734375
2024-10-03 00:00:00-04:00,163.2711944580078
2024-10-04 00:00:00-04:00,167.18515014648438
2024-10-07 00:00:00-04:00,166.31430053710938
2024-10-08 00:00:00-04:00,170.61965942382812
2024-10-09 00:00:00-04:00,174.45535278320312
2024-10-10 00:00:00-04:00,172.02325439453125
2024-10-11 00:00:00-04:00,172.3762969970703
2024-10-14 00:00:00-04:00,172.7195281982422
2024-10-15 00:00:00-04:00,170.7287139892578
2024-10-16 00:00:00-04:00,171.3955841064453
2024-10-17 00:00:00-04:00,172.28799438476562
2024-10-18 00:00:00-04:00,171.317138671875
2024-10-21 00:00:00-04:00,170.40509033203125
2024-10-22 00:00:00-04:00,171.92514038085938
2024-10-23 00:00:00-04:00,169.75784301757812
2024-10-24 00:00:00-04:00,171.0131378173828
2024-10-25 00:00:00-04:00,170.1697540283203
2024-10-28 00:00:00-04:00,169.09095764160156
2024-10-29 00:00:00-04:00,170.08145141601562
2024-10-30 00:00:00-04:00,171.18963623046875
2024-10-31 00:00:00-04:00,164.59939575195312
